File_Date,Country,Year,Month,Channel,Category,Partnership,NMV,Item,PV,ASP,CR,NC
2018-03-16,TH,2018,Oct,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,May,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Nov,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Jun,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Feb,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Apr,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Jan,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Mar,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Dec,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Aug,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Sep,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Jul,Shopee,HC,MP,1000000,4347.826086956522,167224.08026755854,230,0.026,1300
2018-03-16,TH,2018,Apr,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Aug,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jan,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Sep,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Mar,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Nov,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Oct,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jun,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Feb,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,May,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jul,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Dec,Lazada,HC,Retail,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Apr,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Mar,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Jan,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Oct,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Nov,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,May,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Jun,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Jul,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Dec,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Sep,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Aug,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,Feb,Lazada,PC,Retail,100000,434.7826086956522,16722.408026755853,230,0.026,1300
2018-03-16,TH,2018,May,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Nov,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Feb,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Jul,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Mar,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Apr,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Sep,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Jun,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Aug,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Jan,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Dec,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,Oct,Lazada,PC,MP,1500000,6521.739130434783,250836.12040133783,230,0.026,1300
2018-03-16,TH,2018,May,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Aug,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Feb,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Apr,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Dec,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Nov,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Sep,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jan,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jun,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Oct,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Jul,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
2018-03-16,TH,2018,Mar,Shopee,PC,MP,2000000,8695.652173913044,334448.1605351171,230,0.026,1300
